timestamped_line
"[16:17:43] Ready. Type 's' to start logging, 'e' to stop."
[16:17:43] Sensor Info:
[16:17:43] Sensor ID: 50
[16:17:43] Sensor Name: FORCE PLATE 850
[16:17:43] Units: N
[16:17:43] ▶️ START LOGGING
"[16:17:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:18:17] 38.52, Force(N): 35.815, ΔF(N): 1.011, FSR1: 570, FSR2: 1023, FSR3: 1023"
"[16:18:17] 38.63, Force(N): 36.826, ΔF(N): 1.011, FSR1: 559, FSR2: 1023, FSR3: 1023"
"[16:18:17] 38.75, Force(N): 37.837, ΔF(N): 1.011, FSR1: 547, FSR2: 1023, FSR3: 1023"
"[16:18:18] 38.86, Force(N): 38.848, ΔF(N): 1.011, FSR1: 527, FSR2: 1023, FSR3: 1023"
"[16:18:18] 38.97, Force(N): 39.858, ΔF(N): 1.011, FSR1: 514, FSR2: 1023, FSR3: 1023"
"[16:18:18] 39.39, Force(N): 38.848, ΔF(N): -1.011, FSR1: 531, FSR2: 1023, FSR3: 1023"
"[16:18:18] 39.50, Force(N): 37.837, ΔF(N): -1.011, FSR1: 516, FSR2: 1023, FSR3: 1023"
"[16:18:18] 39.61, Force(N): 38.848, ΔF(N): 1.011, FSR1: 508, FSR2: 1023, FSR3: 1023"
"[16:18:18] 39.72, Force(N): 39.858, ΔF(N): 1.011, FSR1: 499, FSR2: 1023, FSR3: 1023"
"[16:18:19] 39.94, Force(N): 40.869, ΔF(N): 1.011, FSR1: 482, FSR2: 1023, FSR3: 1023"
"[16:18:19] 40.05, Force(N): 41.880, ΔF(N): 1.011, FSR1: 462, FSR2: 1023, FSR3: 1023"
"[16:18:19] 40.16, Force(N): 42.891, ΔF(N): 1.011, FSR1: 448, FSR2: 1023, FSR3: 1023"
"[16:18:19] 40.27, Force(N): 43.901, ΔF(N): 1.011, FSR1: 443, FSR2: 1023, FSR3: 1023"
"[16:18:19] 40.48, Force(N): 44.912, ΔF(N): 1.011, FSR1: 430, FSR2: 1023, FSR3: 1023"
"[16:18:19] 40.60, Force(N): 43.901, ΔF(N): -1.011, FSR1: 424, FSR2: 1023, FSR3: 1023"
"[16:18:19] 40.71, Force(N): 44.912, ΔF(N): 1.011, FSR1: 432, FSR2: 1023, FSR3: 1023"
